word,meaning,examples
Chiaroscuro,"The use of strong contrasts between
 light and dark to achieve a sense of vol- ume and three-dimensionality",['Dramatic lighting in a noir film to create depth']
"Cinematographer
 (DP)","Director of Photography, responsible
 for camera and lighting",['The DP chooses the lens to capture the scene’s mood']
Climax,Peak moment of conflict or decision,['Final showdown in third act']
Close-Up,Tight frame on face/object,['Eyes tearing up']
Close-Up (CU),"Frame focused tightly on a subject
 (e.g., face)",['face']
Collaboration,"Working with camera, sound, edit
 teams",['Director + camera + sound plan together']
Colour Grading,"Adjusting colour and tone to create
 mood",['Making the scene cooler to evoke sadness']
Colour Palette,"Intentional choice of colours to evoke
 mood or meaning","['Warm/cool tones?','Muted vs. saturated?']"
"Commercials /
 Branded Films","Advertisements or promotional films
 made for marketing","['Nike','Tanishq']"
Communication,"Clear, respectful, and timely exchange
 of information",['Team meetings to discuss script changes']
"Complementary
 Skills","Diverse talents that balance and en-
 hance one another","['One is good at planning','another at storyboarding']"
Composition,"Placement of elements within the frame
 to guide meaning",['Arranging actors and props to direct the viewer’s eye']
Concept,Central idea that drives the film,['What if dreams could be recorded?']
Conflict,Struggle that drives drama,['Detective vs. criminal']
Continuity,Keeping details consistent across shots,['Shirt sleeves match between cuts']
"Continuity Edit-
 ing","Smooth, invisible cuts preserving logi-
 cal flow",['Seamless transition between scenes to maintain story flow']
"Continuity Su-
 pervisor (Script Supervisor)",Ensures consistency across takes,['Noting the position of props between takes']
Contrast,"High-key (bright, low shadow) vs. low-
 key (dark, moody)",['High-key lighting in a comedy scene']
"Contrapuntal
 Sound",Sound that contrasts with the visual,['Cheerful music over tragedy']
Coverage,"Shooting multiple angles for editing
 choice","['Wide, medium, close-up in one scene']"
"Crane/Drone
 Shot","Camera elevated or airborne for sweep-
 ing movement",['Sweeping view of a city skyline']
"Creative Differ-
 ences","Conflicting artistic viewpoints that
 must be resolved",['Director and producer disagree on the ending']
Cropping,"What’s included or left out of the
 frame, and why?",['Cropping out the background to focus on the face']
"Cross-Cutting
 (Parallel Edit- ing)","Cutting between two actions happen-
 ing simultaneously","['Hero racing to save the day','Villain sets a trap']"
"Cultural Refer-
 ences","Any symbols, clothing, or gestures tied
 to tradition?",['A character wearing a traditional outfit symbolizing heritage']
Cut,Transition between shots,['Cutting from a wide shot to a close-up']
Cutaway,Insert of detail or surrounding action,['Clock ticking during tense talk']
"Deus Ex
 Machina","Unexpected, unrealistic resolution to
 conflict",['A sudden meteor strike solves the plot']
Decoupage,"Breaking script into shots for continu-
 ity",['Script page → 6 planned shots']
Denouement,"Resolution and tying up of narrative
 threads",['The heroes celebrate after the battle']
"Depth Composi-
 tion","Foreground, midground, background
 layers","['Tree FG, person MG, buildings BG']"
Depth Staging,"Use of FG, MG, BG for performance
 layers","['Actor in FG, others reacting in BG']"
Depth of Field,The zone of sharp focus in an image,['Shallow depth to blur the background']
"Descriptive
 Writing",Creating sensory detail in words,['The market smelled of fried snacks']
Dialogue,Spoken words of characters,['I can’t believe you left me']
Diegesis,"The total world of the story (visual +
 sound + implied elements)",['The film’s universe including off-screen events']
Diegetic Shift,"When a sound moves from the film’s
 world to non-diegetic",['Song a character plays becomes soundtrack']
Diegetic Sound,"Sound that characters in the film can
 hear",['Radio playing']
Director,"Experienced Creative head who inter-
 prets the script into a film",['The director calls “action” on set']
"Director’s Inten-
 tion",The “why” behind making a film,['“To show isolation in urban spaces”']
Director’s Vision,Personal concept guiding film,['“Loneliness disguised as a thriller”']
Docu-Fiction,Mix of documentary and dramatization,['Super Deluxe']
Documentary,"Non-fiction films presenting real events,
 people, or issues","['India Untouched','March of the Penguins']"
Draft,Version of the script,"['first draft','second draft','polish']"
Dramatic Irony,"When the audience knows more than
 the characters","['Viewer sees villain hiding, hero doesn’t']"
Dutch Angle,Tilted frame for imbalance,['Tilted shot in horror']
"Dynamic Char-
 acter","Character who evolves through the
 story",['A character who learns from their mistakes']
Educational,"Institutional Films Films made for
 training, awareness, or advocacy",['Government awareness campaigns']
"Elements of
 Screenplay","Parts: scene heading, action, dialogue,
 transition",['EXT. PARK – NIGHT / He runs']
Ellipsis,Jumping over time with cuts,['Morning → night with cut']
"Emotional
 Geography",Blocking space to reflect emotion,"['Lover at doorway, partner inside']"
Empathy Gap,"Distance between what a character
 feels vs. what the audience perceives","['Audience knows the truth, character doesn’t']"
"Enter/Exit Tim-
 ing",How/when actors enter/exit,['Late entrance for comedy']
"Episodic Struc-
 ture","Loosely connected events, often in
 TV/web series",['Episodes in a TV series with loose plot']
Essay Film,"Personal, reflective blend of documen-
 tary, narrative, and philosophy",['Chris Marker’s Sans Soleil']
"Establishing
 Shot","Introduces setting, time, and tone",['Wide shot of a city at night']
Exposition,"Information that explains context,
 character, or backstory",['Character recalls past accident']
Eyeline Match,Matching character gazes between cuts,['CU of A looks left → CU of B looks right']
Feature Film,"A full-length narrative film, typically
 80–180 minutes","['Sholay','The Godfather']"
Film Diary,"Notes on films, ideas, observations",['Weekly reflections on films']
"First AD (Assis-
 tant Director)","First in charge of shoot: Calls the
 shots, Manages scheduling, crew coor- dination, and safety",['The First AD shouts “Rolling!”']
First Impression,"What’s your gut reaction (calm, fear,
 wonder, sadness)?",['Feeling fear from a dark alley shot']
Flat Character,"Character without much depth or
 change",['A sidekick who remains the same']
Focus,"Depth What is sharp vs. blurred?
 Where is your eye drawn first?","['Sharp focus on the face, blurred background']"
Foley,"Custom-created sound effects for real-
 ism",['Recording footsteps in a studio']
"Foreground /
 Midground / Background",How are layers arranged?,"['Tree in foreground, character in midground, mountain in background']"
Foreshadowing,Hinting at future events,['A storm cloud hinting at upcoming trouble']
Fourth Wall,"Imaginary boundary between actors
 and the audience",['Actor looks at camera knowingly']
Frame Rate,"Number of frames per second (fps) cap-
 tured",['24 fps for cinematic look']
Framing,"The way subjects are in-
 cluded/excluded in a shot","['Close-up','wide','over-the-shoulder']"
Genre,"Category of film/story with conven-
 tions","['Horror = shadows, screams']"
Genre Films,"Films that follow conventions of a spe-
 cific genre",['Kanchana (horror-comedy)']
Graphic Match,"Seamless cut joining two visually or
 thematically similar shots",['Bone thrown in air cuts to spaceship']
Handheld,"Camera carried, creating a raw, shaky
 feel",['Shaky camera in a documentary chase']
Headroom,Space above actor’s head in frame,['Too much space makes actor “float”']
Hero’s Journey,"Call to Adventure, Trials, Transforma-
 tion, Return",['Luke Skywalker’s journey in Star Wars']
High Angle,Camera looks down at subject,['Victim in thriller']
"Historical Con-
 text","When was the picture made, and what
 was happening socially or politically, or personally in the artiste’s life?",['A painting from World War II reflecting wartime anxiety']
Identification,"When audiences emotionally align with
 a character’s perspective",['Viewers root for the underdog hero']
Immersion,"The feeling of being absorbed into the
 story world – Virtual Cinema",['VR film making the audience feel present']
"Improvisation
 (Improv)","Spontaneous, unscripted performance",['Actor invents dialogue in scene']
In Medias Res,Beginning story in the middle of action,"['Starting with a car chase, then flashback']"
Inciting Incident,"The event that launches the main
 story/conflict",['Hero’s car breaks down']
J-Cut,Image comes before audio switch,['Scene shifts while old dialogue continues']
Jump Cut,"Abrupt break in continuity, often to
 emphasize time shift or style",['Interview time jumps']
Juxtaposition,"Placing contrasting images or sounds
 side by side for impact",['Peaceful scene next to violence']
Kuleshov Effect,"Audience infers meaning from the se-
 quencing of shots","['Man looking at soup, then sad face implies hunger']"
L-Cut,"Audio leads into new scene before im-
 age",['Waves before beach appears']
Lead Room,Space ahead of moving/looking subject,['Walking left with space ahead']
Leitmotif,"Musical theme tied to a character, ob-
 ject, or idea",['Darth Vader’s theme in Star Wars']
Lens Choice,"Wide, normal, telephoto – affects field
 of view and emotion",['Wide lens for distorted view in fear scene']
Light Source,"Natural, artificial, or stylized lighting?",['Sunlight through window for natural look']
"Lighting (High-
 key / Low-key)","Bright even lighting vs. deep shadows
 for tone",['High-key for ad films']
Logline,"One-sentence summary of the film’s
 premise",['“A boy befriends an alien hiding on Earth”']
Long Shot (LS),Shows subject in full with surroundings,['Person in a vast landscape']
Long Take,"Carefully planned / choreographed ex-
 tended shot without cuts",['Long tracking shot in Goodfellas']
Low Angle,Camera looks up at subject,['Hero walking toward camera']
MacGuﬀin,"Object/goal that motivates the plot
 but may have little inherent impor- tance",['The briefcase in Pulp Fiction']
Marks,Floor positions for actors,['X taped for standing point']
Master Shot,"Covers the entire scene from start to
 finish",['Family dinner scene from one angle']
Match Cut,"Seamless cut joining two visually or
 thematically similar shots","['Door opens in one shot, continues in another']"
"Medium / Tech-
 nique","Is it a still, a moving frame, or digitally
 altered?",['A digitally altered photograph for surreal effect']
Medium Shot,Frames subject waist-up,['Interview setup']
"Medium Shot
 (MS)",Shows subject from waist up,['Character speaking in a conversation']
Memoir Writing,Personal life recollections,['Writing about first train ride']
Midpoint,"Dramatic turning point halfway
 through a screenplay",['The hero decides to fight back']
Mise-en-Scène,"The arrangement of everything in the
 frame: set, props, actors, lighting, cos- tume",['The cluttered room reflecting the character’s mind']
Mockumentary,Fiction presented as documentary,['This is Spinal Tap']
Monologue,Extended speech by one character,['Hamlet’s “To be or not to be”']
Montage,"Sequence of images conveying progres-
 sion or meaning",['Training montage']
Montage Editing,"Cuts arranged to build emotional or in-
 tellectual impact",['Soviet montage in Battleship Potemkin']
Mood,"What emotional atmosphere do the
 light and colours create?",['Warm colors = nostalgia']
Mood Board,Collage of visual references,"['Foggy forests','pale light']"
Motif,"Repeated element (image, sound,
 phrase) that supports themes",['Red balloon appearing repeatedly']
Motivation,The “why” behind a character’s actions,['Revenge for a lost loved one']
Musical,"Films where song and dance sequences
 are integrated into the story","['Mughal-e-Azam','La La Land']"
Narrative,The structured story being told,['Romeo and Juliet’s narrative is a tragic love story between two families at war']
Narrative Clues,"Props, gestures, or details hinting at a
 larger story",['A scar on the character’s face hinting at past violence']
"Narrative Struc-
 ture","The organizing framework of how the
 story is told — the blueprint that shapes events into a meaningful pro- gression","['Three-Act Structure','Hero’s Journey']"
Naturalism,Dialogue that sounds like real speech,['Casual conversation with ums and ahs']
"Nested/Frame
 Narrative",story within a story,"['Arabian Nights','The Princess Bride']"
"Non-Diegetic
 Sound","Sound outside the story world (score,
 narrator’s voice)",['Background score']
"Nonlinear Nar-
 rative",Story told out of chronological order,['Memento told in reverse']
"Nonlinear Struc-
 ture","flashbacks, fractured timelines",['Pulp Fiction']
"O.S. (Off
 Screen)","Character speaks from outside the vis-
 ible frame",['Voice calling from another room']
Objective,What the character wants in a scene,['To convince the friend to join the adventure']
Obstacle,What prevents them from achieving it,['Locked door blocks escape']
Motivation,The “why” behind a character’s actions,['Researching local rituals']
"On-the-Nose Di-
 alogue",Too literal; lacks subtext,['Character says “I am sad” instead of showing it']
Option,"Agreement giving a producer the rights
 to purchase a script later",['Producer options a script for 6 months']
Oral Narrative,Storytelling out loud to peers,['Sharing a ghost story']
Pacing,"Rhythm of scenes created by shot
 length and cuts",['Fast pacing in action scenes']
Pan,Horizontal camera movement,['Camera panning across a crowd']
Parallel Action,"Cutting between two or more actions
 happening at the same time",['Hero and villain preparing for confrontation']
Parallel Sound,Sound that matches the visual,['Happy music with joyful images']
Parenthetical,"Small note under a character’s name
 about how dialogue is delivered",['(whispering)']
Perspective,"Is space flat, deep, distorted, or dream-
 like?",['Distorted perspective in a dream sequence']
Pitch,"Presenting story idea verbally to pro-
 ducers or executives",['Pitching a horror story to a studio']
Plot,Sequence of events presented,['Hero loses job → starts journey']
Plot Point,"Major event that turns the story in a
 new direction","['Mentor dies, hero must act']"
Plot vs. Story,"Plot is the sequence of events pre-
 sented; Story is the full set of events (including unseen ones)","['Plot shows the heist, story includes planning']"
"Point of View
 (POV)","Camera angle that reflects a character’s
 perspective",['Whose perspective does the image suggest? What are they saying?']
"Position Hierar-
 chy",Power shown by relative position,"['Boss seated, others standing']"
Post-Production,"Editing, sound, VFX, colour grading",['Adding special effects in editing']
Pre-Production,"Planning stage (script breakdown, cast-
 ing, location, budget)",['Casting actors for roles']
Premise,Core idea expressed in one sentence,['“Greed destroys friendship”']
Producer,"Oversees budget, logistics, and produc-
 tion flow",['Managing the film’s budget']
"Producer vs. Di-
 rector","Producer handles logistics and budget;
 Director handles creative execution","['Producer secures funding','Director directs actors']"
Production,The actual shooting of the film,['Filming on location']
"Production De-
 signer","Oversees sets, props, and visual envi-
 ronment",['Designing the set for a historical drama']
Protagonist,Main character driving the story,['The hero on a quest']
"Protagonist /
 Antagonist","Main character vs. primary opposing
 force",['Hero vs. villain']
Reaction Shot,Cut to character’s emotional response,['Shocked face after revelation']
Real-Time Scene,Scene plays out in actual time,['3-min uncut dialogue']
Reframing,"Camera adjustment to keep composi-
 tion","['Actor stands, camera tilts up']"
Relationships,"How do figures relate to each other (dis-
 tance, body language)?",['Characters hugging to show closeness']
Research,Background work to inform story,['Researching local rituals']
Rule of Thirds,"Framing principle dividing screen into
 thirds for balance",['Eyes aligned on upper third']
Scale,"Do size relationships create intimacy,
 grandeur, or tension?",['Tiny character in a vast landscape for grandeur']
"Scene Geogra-
 phy",Spatial map of where characters are,['Drawing set layout before shooting']
"Scene Heading
 INT. LIBRARY – MORNING",Tells location,['time: INT./EXT. + place + DAY/NIGHT']
Screenplay,"The full written script including dia-
 logue and action lines",['INT. CAFE – DAY']
"Screenwriting
 Software","Tools like Celtx, Final Draft",['Celtx template scene']
"Serial / Episodic
 Films",Stories told across multiple instalments,['The Adventures of Tarzan']
Shared Purpose,"Teamwork makes the dream work! Ev-
 eryone discusses and aligns on a com- mon objective or vision",['Team aligning on the film’s theme']
Shooting Script,"Finalized script with scene numbers
 and technical directions",['Script with camera directions added']
Short Film,A film usually 30 - 40 minutes,['Student films']
"Short Story
 Analysis","Study structure, character, tone",['Analyzing Chekhov’s “The Kiss”']
Shot,"A continuous view from one camera
 setup",['A single camera recording a scene']
"Shot Composi-
 tion","How subjects and objects are arranged
 within the frame",['Subjects placed using rule of thirds']
Shot Length,Duration of each shot before cut,['Long take vs. fast montage']
Shot List,"Detailed list of shots needed for the
 shoot",['List of close-ups and wide shots for a scene']
Shot Progression,Moving from wide → medium → close,['Establishing → mid → close-up']
"Shot Reverse
 Shot",Alternating shots in conversation,['Over-the-shoulder dialogue']
Silent Film,"Early films without synchronized dia-
 logue (1890s–1920s)",['Raja Harishchandra']
"Simple Screen-
 play",Short 2–3 page script in proper format,['A 3-min argument scene']
"Slug Line (Scene
 Heading)","Line in a script stating where and when
 a scene takes place (INT./EXT., loca- tion, time)",['INT. BUS STOP – NIGHT']
Sound Bridge,Audio that links two scenes,['Argument continues into hallway']
Sound Design,"Creating or shaping the film’s audio
 world",['Designing sounds for a sci-fi world']
Sound Mixing,"Balancing dialogue, music, and effects",['Adjusting volume levels in post']
Spatial Contrast,Changing character distances over time,['Friends drift apart in argument']
Spec Script,"Script written without commission,
 hoping to sell",['A writer submits a spec script to agents']
Spectacle,"Visually striking moments designed to
 wow or shock",['Epic battle scene with explosions']
Staging,Arrangement of actors/objects in frame,['Three actors in triangle around table']
Stillness,Intentional lack of movement,['Character waits silently']
Storyboarding,Shot-by-shot drawings of scenes,['Drawings showing camera angles for a scene']
Storytelling,Passing narratives through culture,"['Folktales','myths']"
Style,Unique tonal/visual identity of director,['Wes Anderson symmetry']
Subplot,"Secondary storyline running alongside
 the main one",['The romance subplot in an action film']
Subtext,"What characters mean beneath spoken
 words","['What’s unsaid or unseen, yet felt?']"
"Superimpose
 (SUPER)",Text or image placed over screen,"['“Paris, 1945”']"
"Supporting
 Characters","Secondary roles that shape the protag-
 onist’s journey",['The wise mentor guiding the hero']
"Suspension of
 Disbelief","Audience’s willingness to accept the fic-
 tion",['Accepting superheroes in a movie']
"Synaesthesia in
 Film",Blending sensory effects,['Colours “feeling” like sounds']
Table Read,"Cast reading the script together before
 rehearsals",['Actors reading lines around a table']
Table Work,"Collaborative script discussion with ac-
 tors and crew",['Discussing character motivations']
Tactics,"Strategies the character uses to achieve
 their objective",['Using charm to persuade someone']
Tagline,"Catchy marketing phrase used for pro-
 motion",['“In space no one can hear you scream”']
Take,Each recorded attempt of a shot,['Director calls for take two after a mistake']
Teamwork,"The process of people working collabo-
 ratively toward a shared goal by com- bining their skills, efforts, and perspec- tives",['Orchestra metaphor']
Theme,"The underlying universal idea explored
 by the screenplay",['“Love conquers fear”']
"Three questions
 of Choice",Three questions to guide actor’s choices,['What do I want? How do I get it? What stands in my way?']
"Three-Act
 Structure","Classical model: Act I (Setup), Act II
 (Confrontation), Act III (Resolution)","['Setup, Confrontation, Resolution']"
Tilt,Vertical camera movement,['Camera tilting up a building']
"Time Compres-
 sion",Showing time passage quickly,['Seasons changing montage']
Tone,"The overall emotional quality of the
 film",['Dark comedy vs. tragedy']
"Tracking/Dolly
 Shot",Camera physically moves with subject,['Camera following a character walking']
"Transmedia Sto-
 rytelling","Expanding a story across multiple plat-
 forms","['Film','games','web','comics']"
Transition,"Editing instruction in script (CUT TO,
 FADE IN, DISSOLVE TO)",['CUT TO:']
Treatment,Expanded prose outline of the film,['2-page summary of short film']
Trust,"Belief that each member will fulfil their
 responsibilities",['Team trusts the editor to assemble the footage']
"V.O. (Voice
 Over)","Character narrating while not on
 screen",['Narrator describing thoughts']
VFX Concept,Imagining use of effects to tell idea,['Flying books in a library']
Verisimilitude,Believability of the film’s world,['Realistic dialogue and settings']
Vision,"The director’s unique interpretation of
 the story",['A unique take on a classic tale']
Visual Metaphor,"Using imagery as a symbolic represen-
 tation",['Storm = chaos']
Voice,"Unique style/tone of a writer or char-
 acter",['A character’s sarcastic voice']
"Voice-Over Nar-
 ration","Explanatory or internal thoughts spo-
 ken over visuals",['Narrator explaining the plot']
Voiceover,Narration over image,['Student narrating market visit']
Wide Shot,Shows full figure and environment,['Lone figure in desert']
"Wide-to-Tight
 Progression",Moving shot scale during scene,['WS argument → CU tear']
World-Building,Constructing rules/setting of story,['City where time moves backwards']
Wrap,Completion of shooting day or project,['Director calls ’wrap’ at the end of the day']
Zoom,"Changing the lens focal length to move
 closer/farther without moving the cam- era",['Zooming in on a suspect’s face']
